"MMSA","BMI_(kg/m2)","underweight","normalweight","overweight","obese","extremeobesity"
10100,28.3217569232089,0.0137178179570792,0.266791971661449,0.431910006577401,0.241372270347695,0.0462079334563765
10380,27.6797250060018,0.0200878843073728,0.309816338081782,0.404622375514629,0.234151924158017,0.0313214779381996
10420,27.8600206610428,0.0360680763867553,0.302322136055948,0.380177697844795,0.240624587257817,0.0408075024546855
10580,27.6213467972446,0.0153067482518884,0.319110860637885,0.40720230053903,0.222284121676834,0.0360959688943624
10740,27.5060186061621,0.0160503721102406,0.326552174749346,0.409349014923305,0.211320265643902,0.0367281725732067
10900,28.0193708011442,0.0168076725551447,0.296314735218829,0.393872927972776,0.248097854049156,0.0449068102040948
11260,28.0202024407447,0.0126410691552311,0.311092086126185,0.383963989870321,0.247607187437857,0.0446956674104063
12060,27.7284622355282,0.0180044838363187,0.313754310861872,0.40986425215179,0.216592808893089,0.04178414425693
12260,28.1795541238058,0.0179015742823939,0.290619972837431,0.396362057207647,0.248120802454213,0.0469955932183152
12420,27.4512519543645,0.0140387809804315,0.341524097424594,0.39305673380985,0.214227615764118,0.0371527720210066
12580,27.9417221276131,0.0178918841236378,0.303218152820117,0.401143222741051,0.23349276295908,0.0442539773561142
12940,28.4707712351646,0.0192001236746678,0.294187792936999,0.36874822365913,0.256085669404188,0.0617781903250147
13220,29.4187302342733,0.0105483061781322,0.234162473084695,0.339478207027729,0.359326438844357,0.0564845748650869
13620,28.2690556104637,0.0152726894922262,0.255593635530828,0.414614286628032,0.281993143841499,0.0325262445074158
13740,27.6901066218461,0.0174907997325672,0.304413539311034,0.426920702342329,0.213031802932721,0.0381431556813481
13780,27.5868308618153,0.0304468859598724,0.345489286371908,0.344402224583359,0.236074958099022,0.0435866449858392
13820,28.5048368486849,0.016911994581076,0.292121928848596,0.360034957257766,0.276665829641569,0.054265289670993
13900,27.9637095086287,0.0129788706602363,0.285729528623397,0.409867603400584,0.256425959410076,0.0349980379057076
14260,27.652004047968,0.0137146529737676,0.315978517198728,0.401582164119927,0.231675466173093,0.0370491995344842
14454,26.7886974128455,0.0235218609601705,0.35368932654426,0.417034611780914,0.183884766966608,0.0218694337480467
15380,27.7681501197417,0.0188122348784683,0.317788681527337,0.395643758161357,0.227966405372672,0.0397889200601663
15540,26.9607344069194,0.0157554737573849,0.380124341221282,0.385679535898661,0.184260516589257,0.0341801325334157
15764,26.8242264432844,0.016672518801843,0.367931866128525,0.41250766379467,0.178756524491709,0.0241314267832528
15804,28.0061642493979,0.0159157977514633,0.296539118738425,0.408919811452255,0.237078753353657,0.0415465187041998
16300,28.3521689989139,0.0102699406832544,0.284481698290884,0.38991917316648,0.266620171197539,0.0487090166618428
16620,28.9344419369177,0.0125874462484613,0.252173475038985,0.387343773763254,0.284261925310778,0.0636333796385226
16700,27.8631984285499,0.0145880485081413,0.318648361787879,0.382044209387385,0.244117038300796,0.0406023420157992
16740,27.9235199085318,0.0126969704825777,0.304616204148632,0.407005595401647,0.230829334240042,0.0448518957271007
16860,28.2148824250498,0.0115624612927436,0.291845134651656,0.413743731189972,0.225580304008282,0.0572683688573456
16980,27.8059567924251,0.018384165682802,0.323591110330742,0.378206116663801,0.238160484096449,0.0416581232262066
17140,28.0058856307727,0.016786768555648,0.304664348954973,0.388213726898844,0.247551349742517,0.0427838058480173
17200,27.4723001283058,0.0142477442044715,0.342228253259266,0.399785459660805,0.207863813005317,0.0358747298701412
17460,27.9755182580755,0.0154329820579192,0.309543725177757,0.397747605899047,0.228682743147266,0.048592943718011
17780,27.7505864870374,0.0136407579973974,0.302039785321723,0.400440374124902,0.240770267403746,0.0431088151522314
17820,26.8761651810817,0.0229262877426761,0.365167564463962,0.395715390820167,0.188437992960949,0.0277527640122469
17900,28.2581897856397,0.0115743149152541,0.300059096824512,0.378446330049892,0.26572911983798,0.0441911383723618
18140,28.1919566138003,0.0184847473380085,0.30206302271001,0.382893103491184,0.241310513431289,0.055248613029509
18580,29.0962868557514,0.0126801399525379,0.264582273096582,0.350489899860399,0.312795959170891,0.0594517279195899
18880,27.4626499369275,0.0186202123088896,0.314888947507111,0.413944180470076,0.221638173816915,0.0309084858970077
19060,28.2282931131236,0.0175246287270503,0.260500648679258,0.442149592348244,0.226102702878504,0.0537224273669428
19124,27.9101352316254,0.014787004123415,0.289190163142038,0.426036991105745,0.231527655792104,0.0384581858366986
19340,28.0544456358049,0.00899815758291956,0.309195061313433,0.355104040816289,0.298179854880924,0.0285228854064348
19380,28.2808822033818,0.0162849818558296,0.303623905135238,0.374796876362448,0.249155028119241,0.0561392085272433
19660,27.4348638985241,0.0324835614942584,0.313336594632605,0.388908622701194,0.233639742221806,0.0316314789501372
19740,26.6875440888182,0.0188503052790171,0.37009089540676,0.416420247098812,0.172043079532127,0.0225954726832838
19780,28.1295172560338,0.015199979558917,0.3015966146975,0.398973594138386,0.233421165163998,0.0508086464411998
20260,27.5983397669919,0.0185206569775611,0.307498574551528,0.416414942681443,0.228355831883655,0.0292099939058133
20500,27.2453181700251,0.00747743958497464,0.356144654926403,0.410628769079939,0.188494179852391,0.0372549565562924
20524,27.2405529470281,0.020878882890791,0.350647903885397,0.392938144898318,0.2017778403291,0.0337572279963938
21340,28.3424902260248,0.0140008449444898,0.274485922694777,0.41247443055244,0.253797691280633,0.0452411105276609
21780,28.7837794787422,0.0115834698760605,0.2897098724463,0.382644801251878,0.245145086081882,0.0709167703438787
22020,27.6906605239388,0.0143190324175317,0.321361785181168,0.396430380178659,0.229791739143308,0.0380970630793329
22220,27.9852338190389,0.0153750292386594,0.307439809223684,0.398813747351398,0.231204120502604,0.0471672936836549
22500,28.6517306558534,0.0176188183091632,0.287873313282277,0.348966222488687,0.29196440864571,0.0535772372741619
22900,28.93287564546,0.0120387698290594,0.267182269615739,0.37396148840862,0.299581820835108,0.0472356513114742
23060,28.0473531383706,0.0180809295891081,0.306359334025745,0.388660044044171,0.238587847855879,0.0483118444850969
23104,28.1558761671147,0.0162286827808529,0.295812702082074,0.389657909222297,0.253526154524076,0.0447745513907003
23540,27.5326696660461,0.0249210886106863,0.365746457390111,0.367315405688481,0.184493854962091,0.0575231933486307
24020,28.4631730303502,0.0187899563354478,0.275945442340085,0.39265884290966,0.259305859541614,0.0532998988731935
24220,28.2026200646863,0.015981980797107,0.289493566486454,0.395465458711491,0.256256504641581,0.0428024893633668
24260,28.6280778757986,0.0139769604221407,0.248117959478815,0.410824214451801,0.277129039877286,0.0499518257699576
24340,27.7763734670336,0.0137321818772616,0.326675033491586,0.384299499532242,0.23381137945083,0.0414819056480805
24660,28.4968190501717,0.0164226192653994,0.270066336306016,0.409336787978897,0.251933802756804,0.0522404536928831
24860,27.9551742310443,0.0172898311764472,0.306865070849379,0.385800362954038,0.246116442718269,0.0439282923018664
25060,28.5794503404292,0.0131575105958311,0.294341257456989,0.379614901266049,0.243430749374232,0.0694555813068995
25180,28.4646965014486,0.0170015102738414,0.275178699562122,0.376288712296676,0.281971979646469,0.0495590982208916
25540,27.4459879718019,0.0159913028964693,0.330187749366866,0.415216936208162,0.202013710506154,0.0365903010223491
25940,27.2999929353515,0.0196630091391412,0.337287596031553,0.408487460356868,0.199745898041921,0.0348160364305168
26420,28.0974734334234,0.0216151467332078,0.265850335530011,0.445813786903368,0.222650600911252,0.0440701299221614
26580,29.0028935862283,0.0165488930184132,0.244628392778833,0.392113767235321,0.280020926860965,0.0666880201064676
26820,28.2463864170297,0.0223857940991817,0.291588313018571,0.377659991855393,0.249833821658586,0.0585320793682676
26900,28.2358341501229,0.018126784857527,0.293649721090415,0.388949941021831,0.245206014755672,0.0540675382745558
27140,28.7258239361966,0.018421311081433,0.27966917105514,0.375387935857391,0.260977899339031,0.0655436826670051
27260,28.0858273269116,0.0198383931632985,0.303146422986028,0.394274072182972,0.236311999978605,0.0464291116890959
27980,26.8730534245267,0.0212218555042035,0.388565808087992,0.372443560013197,0.182990210168107,0.0347785662265005
28140,28.2971642020287,0.0157244804681997,0.300075052009459,0.397700562996701,0.236571808104552,0.0499280964210883
28420,27.7595682056494,0.0205511070160716,0.276943793179587,0.455558564353772,0.225520665273342,0.0214258701772273
28700,28.2624480948703,0.0179158847913201,0.282392614487932,0.401461994513199,0.246049077862617,0.0521804283449323
28940,28.0225974622551,0.0169302495180052,0.309505215074107,0.375317150787015,0.2524767682523,0.0457706163685732
29180,28.2182303700129,0.0155298680837399,0.276757900155011,0.398444830382042,0.265581551118033,0.0436858502611737
29620,27.8070430095632,0.0154029928396806,0.333613138608324,0.363284268912736,0.245909972308752,0.0417896273305075
30460,27.8635492426782,0.0146632794305156,0.332095480354231,0.361363635737423,0.250278552812483,0.0415990516653467
30700,27.5717172379419,0.0210789791942136,0.328913152625842,0.39001147091355,0.218852674902539,0.0411437223638562
30780,28.5234601893874,0.0252539442284318,0.276581687725247,0.378609900878699,0.259176915763366,0.0603775514042567
30860,26.9557095962927,0.0208811478427174,0.368255294667963,0.380406579634652,0.19457872348343,0.0358782543712379
31080,26.9683525123052,0.0226861088801023,0.343217037639146,0.423217593058209,0.185405876156672,0.0254733842658716
31140,28.1498098188392,0.0196843182698932,0.302847818409994,0.383296063688148,0.239970180675735,0.0542016189562296
31180,27.8815862780872,0.0202515209635131,0.325655025429993,0.338429856069596,0.259018878483273,0.0566447190536246
31540,27.6090331722461,0.0109724475429992,0.306559240680365,0.431907416686181,0.207811020554874,0.0427498745355807
31740,27.3909063025312,0.0235638686491898,0.371340582539478,0.385815473217228,0.177182253509798,0.0420978220843059
32820,28.9507175305649,0.0148520170797654,0.250823688725997,0.393876307816024,0.275418484798547,0.0650295015796668
33100,27.2676329139996,0.021298096513967,0.32324331214859,0.424989908404912,0.204471139411438,0.0259975435210934
33340,28.197606353207,0.0149924016968504,0.302404005281794,0.398045350492747,0.230029927451484,0.0545283150771249
33460,27.2256548908585,0.0162874966769022,0.341063576642003,0.409919790243482,0.20351447794478,0.0292146584928329
33500,27.8935924865631,0.0238383840227228,0.285737239261694,0.408045523154553,0.240694857592133,0.041683995968897
33860,28.3278796892393,0.0122852238955573,0.295929404110112,0.37223698882187,0.267932645349024,0.0516157378234369
33874,27.0865052705936,0.016045383025599,0.361486900824325,0.391832999753066,0.198276936476181,0.0323577799208284
34820,27.961836945003,0.0165557519092717,0.29085093470434,0.408387420498337,0.244941165589476,0.0392647272985761
34980,28.1336167729606,0.0142494428916945,0.302999300554649,0.400828636865252,0.231362148669352,0.0505604710190522
35004,27.3752561937295,0.015372099249252,0.321365314093932,0.434126372250898,0.199017549941268,0.0301186644646503
35084,27.2437687853948,0.0155373596288716,0.314436834178371,0.449286310685888,0.195615394770284,0.0251241007365854
35380,28.4166343588377,0.0195544696919812,0.292446982419426,0.376654877891446,0.253443952976692,0.0578997170204552
35614,27.0215158836468,0.0208998222516591,0.350794097204194,0.411808289904988,0.186690047424567,0.0298077432145929
35740,28.3779825081562,0.0171620153486392,0.278551553577805,0.389124714008593,0.26907069179631,0.0460910252686518
35820,28.5355073606641,0.0164190579929912,0.250650965820684,0.406533414913171,0.279952668002091,0.0464438932710621
35840,27.0826597525379,0.0171748197355905,0.34470958466165,0.414921182746531,0.202516941349037,0.0206774715071918
36084,26.5825642801614,0.0268384513107322,0.390948391918644,0.384222326466987,0.172424680920863,0.0255661493827744
36260,27.4788442373257,0.0195200330763448,0.330338274435608,0.395939073685086,0.217807418354718,0.0363952004482438
36420,28.1598604778125,0.0159930888241877,0.295871135286308,0.394955265029472,0.24488871757563,0.0482917932844028
36540,28.1212017330227,0.0188437980012949,0.28951019826537,0.39793078322915,0.246935051329012,0.0467801691751738
36740,27.4678516030947,0.0188616025384201,0.327356578783715,0.414052423846467,0.204865129431618,0.0348642653997803
37460,27.9576575215306,0.0231468627451909,0.308447872795289,0.400521401436861,0.217705803432516,0.0501780595901435
37860,27.6627808868997,0.0202814457722823,0.314058970282271,0.406130563431577,0.221277079771614,0.0382519407422564
37964,27.8526326441393,0.0160098424589967,0.32694523447196,0.386997427681779,0.218619124199164,0.0514283711881013
38060,27.6047932579973,0.0209367554527299,0.311408569356859,0.409399892611204,0.221255119947873,0.0369996626313344
38300,28.1162455625663,0.0165006947403749,0.302080594293382,0.385834505525667,0.247404271189046,0.0481799342515298
38660,28.088528969122,0.0137816847666022,0.286103047849824,0.412768069071463,0.24715053162569,0.0401966666864213
38860,27.3631212868009,0.0143806343711208,0.345024092718485,0.391652995216177,0.216481117914522,0.0324611597796954
38900,27.36256196361,0.0171513592132888,0.351587282429833,0.386406575129727,0.205960004484194,0.0388947787429581
38940,27.1664768036852,0.0119898604650712,0.334093101080177,0.427176087382037,0.202899843992305,0.0238411070804104
39300,27.6972117009467,0.0145611643410658,0.312625354915581,0.412652898466687,0.223372740396561,0.0367878418801051
39340,26.8153145599384,0.0211048231375324,0.383266840660365,0.378276984899983,0.190074811612803,0.0272765396893168
39580,27.3629405349238,0.0188678054924035,0.331869733981135,0.413459117229527,0.205265906306784,0.0305374369901505
39660,27.7729601483041,0.0106904690689655,0.323947170578941,0.395450583054111,0.229772062708571,0.040139714589412
39900,26.9604933852708,0.0203390786234585,0.352967097249899,0.411157076249187,0.192230806327353,0.0233059415501028
40060,28.0316402378831,0.0157806387509828,0.295358520221559,0.403676504241936,0.244800465759773,0.0403838710257491
40140,27.8674724481095,0.0139584853206668,0.290694874330522,0.424777740954855,0.232051719019532,0.0385171803744244
40220,27.7951772418509,0.029048728317834,0.28932465605044,0.424820869466155,0.203227950352136,0.0535777958134339
40340,27.4304139853717,0.0154179075186888,0.324203814474089,0.403532233797409,0.227298536130788,0.0295475080790246
40380,27.7842196266205,0.017955427099535,0.325189795617955,0.386074382606073,0.22792091983175,0.0428594748446881
40484,27.4895121386792,0.0151398570498152,0.326635864096215,0.414849926518048,0.209303097980908,0.0340712543550128
40900,27.414494195722,0.016207634863674,0.336932065990766,0.407425341135532,0.204192061626622,0.0352428963834058
41060,27.7411665189758,0.0156551098635166,0.288305899974647,0.434304936075471,0.230909744665063,0.0308243094213024
41180,28.0344678874372,0.016582023312734,0.312847924289535,0.386727344609059,0.232543874934213,0.0512988328544589
41420,28.6784770198809,0.0153524912227822,0.262435625722561,0.390235537227069,0.27871210372125,0.0532642421063372
41460,29.606533266799,0.0132274366553143,0.272371779733572,0.391811734312906,0.247184066449712,0.0754049828484954
41540,28.4070695217549,0.0157576650222512,0.270031962413641,0.404257228330204,0.261522662096203,0.0484304821377008
41620,27.204515507309,0.0201718006936228,0.347062916229615,0.401858572924014,0.198315921455851,0.032590788696898
41700,28.4868784778147,0.0127275026638377,0.265104432138881,0.402444197450093,0.270226110937234,0.0494977568099538
41884,25.9400280989535,0.0237286513793229,0.439314511543171,0.38465250140928,0.131269546114368,0.0210347895538575
41940,26.1978241263975,0.0210496283258589,0.415261951343592,0.394267479853546,0.151489311834856,0.0179316286421471
41980,27.8992894412123,0.0221224521445576,0.29860260114935,0.392786723017684,0.24609569211895,0.0403925315694583
42420,28.5013125433565,0.018687525652391,0.266013483566222,0.382519189546082,0.281647977698278,0.051131823537028
42540,28.2950337453648,0.0188549935052544,0.317987133273699,0.368657795572164,0.234167840291768,0.060332237357115
42644,26.9715244676343,0.0218357463027003,0.360224947414756,0.402051467321063,0.18577331384243,0.0301145251190502
43340,28.8729213466418,0.0151128147439581,0.249252775048081,0.401518378805442,0.265757406188545,0.0683586252139737
43524,26.6450097288978,0.0160786622157544,0.368314226639194,0.423965515174942,0.171952634481803,0.019688961488307
43580,28.5529407458776,0.0125375638054808,0.271803007735238,0.398431912658196,0.263855055018247,0.0533724607828386
43620,27.7210119521058,0.0100537362522279,0.327201920306737,0.390220601226574,0.236756922670132,0.0357668195443282
43780,28.2208993686862,0.0225980368119691,0.260420592138695,0.412529289512881,0.259077359452883,0.0453747220835715
43900,28.2201497662027,0.0170402837971662,0.310530718721272,0.373706707844591,0.240254461250464,0.0584678283865067
44060,27.8250681833673,0.0177060584585477,0.331062445153181,0.374640456414013,0.228601522757667,0.0479895172165913
44140,27.3396045665104,0.023270266627795,0.330859020124208,0.403211339570224,0.20807894415402,0.0345804295237525
45060,28.1937470263845,0.0207085779969391,0.288005365297895,0.398609372683271,0.233293247627889,0.0593834363940064
45220,27.7346307146816,0.0253202901241208,0.342967085940391,0.340148116188387,0.238794459536335,0.0527700482107671
45300,27.642065439324,0.0196917023108361,0.315523034872319,0.415173423612557,0.209714854701272,0.0398969845030161
45780,28.4402915127932,0.023041570251923,0.281106073314915,0.381297257540573,0.266428219960158,0.0481268789324314
45820,28.8407806336738,0.0172962181102313,0.27086354404698,0.395382535303114,0.256307493958626,0.0601502085810487
46140,28.3428395153064,0.0142628631138116,0.290471911297686,0.392838557074125,0.250089719126483,0.0523369493878953
46220,28.2187534717583,0.015363332137011,0.301563147120542,0.3682946117839,0.263875550077396,0.0509033588811508
46540,28.0267403907556,0.0257410990781388,0.267194945794766,0.407168771555248,0.255561516503121,0.0443336670687252
47260,27.9768525817781,0.0120686788719885,0.298570896374698,0.400376981840102,0.251146843828596,0.0378365990846156
47664,27.8041025398818,0.0156701592880104,0.313767076286488,0.398057651246235,0.23430730432567,0.0381978088535966
47894,27.3082033728926,0.0192899081487957,0.333870631034417,0.409339868751048,0.204823100029203,0.0326764920365364
48620,28.7410744106636,0.0184826542657277,0.281389847254686,0.39541104920583,0.246253261987905,0.058463187285851
48660,28.5173740583109,0.0294940374156838,0.236692207527134,0.418752486861886,0.262063711357762,0.0529975568375345
48864,27.9827428252788,0.0176447303255371,0.296187315821316,0.409117484074059,0.233733960994897,0.0433165087841908
49180,28.1759020143571,0.00962578355405339,0.325214818823458,0.371353558298477,0.243143865676861,0.0506619736471514
49340,27.5430268411497,0.0156417192754701,0.312115494594727,0.423999326974447,0.213856280975871,0.0343871781794856
49660,27.7886292707446,0.0126108612369853,0.33897678653153,0.352837880756508,0.248859186722411,0.0467152847525661
